Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
4123,2025-10-20,3,10,13,15,32,37,8,,4,2,4,2,2,2,0,2,0,0,0.00,10,58728.00,239,1690.00,707,312.00,13012,50.00,21561,25.00,239985,10.00
4122,2025-10-16,2,4,8,19,35,39,7,,4,2,3,3,3,1,0,2,0,0,0.00,4,90466.00,147,1693.00,494,275.00,8453,50.00,14616,25.00,152801,10.00
4121,2025-10-13,5,31,33,34,38,46,39,31,1,5,3,3,1,0,0,4,1,0,0.00,1,275308.00,76,2491.00,255,405.00,4664,50.00,6757,25.00,92563,10.00
4120,2025-10-09,13,14,19,22,31,42,41,"22,31,42",4,2,3,3,0,3,1,1,1,1,5979660.00,4,150222.00,229,1804.00,631,358.00,12644,50.00,16702,25.00,228771,10.00
4119,2025-10-06,10,15,22,31,42,48,4,22,3,3,2,4,1,1,1,1,2,0,0.00,5,79158.00,106,2568.00,436,341.00,7877,50.00,11529,25.00,149923,10.00
4118,2025-10-02,19,22,26,37,40,46,14,22,2,4,2,4,0,1,2,2,1,0,0.00,3,87402.00,67,2691.00,226,436.00,4720,50.00,5751,25.00,84535,10.00
4117,2025-09-29,15,16,22,34,35,43,26,,3,3,3,3,0,2,1,2,1,2,6145776.00,12,116415.00,598,1607.00,1271,413.00,29887,50.00,38354,25.00,524719,10.00
4116,2025-09-25,1,6,9,11,29,36,12,,4,2,4,2,3,1,1,1,0,0,0.00,23,24231.00,335,1144.00,1150,182.00,18652,50.00,27569,25.00,284723,10.00
4115,2025-09-22,8,15,22,24,43,47,44,8,4,2,3,3,1,1,2,0,2,0,0.00,7,142474.00,128,2005.00,357,392.00,7570,50.00,9469,25.00,145140,10.00
4114,2025-09-18,6,8,9,20,45,49,21,,4,2,3,3,3,1,0,0,2,0,0.00,0,0.00,150,1193.00,330,296.00,8876,50.00,9679,25.00,145809,10.00
4113,2025-09-15,10,19,25,29,33,37,24,19,2,4,5,1,1,1,2,2,0,1,2956471.00,0,0.00,129,1940.00,336,407.00,7473,50.00,9754,25.00,141348,10.00
4112,2025-09-11,2,15,19,35,41,48,33,,3,3,4,2,1,2,0,1,2,0,0.00,2,129261.00,91,1954.00,219,443.00,4742,50.00,5977,25.00,90586,10.00
4111,2025-09-08,1,3,33,38,39,42,31,38,2,4,4,2,2,0,0,3,1,1,1306245.00,2,137500.00,107,1767.00,291,355.00,5351,50.00,8387,25.00,98585,10.00
4110,2025-09-04,8,12,21,38,40,43,25,8,3,3,2,4,1,1,1,2,1,1,3074781.00,2,191022.00,178,1476.00,346,415.00,8416,50.00,10901,25.00,150348,10.00
4109,2025-09-01,3,4,8,13,14,17,20,,6,0,3,3,3,3,0,0,0,0,0.00,6,44214.00,245,745.00,426,234.00,9103,50.00,10611,25.00,142655,10.00
4108,2025-08-28,10,11,16,24,34,35,1,16,4,2,2,4,1,2,1,2,0,3,4176062.00,18,78549.00,569,1709.00,1505,353.00,29745,50.00,43639,25.00,544163,10.00
4107,2025-08-25,2,3,4,16,22,39,48,"4,22",5,1,2,4,3,1,1,1,0,0,0.00,5,119475.00,222,1850.00,568,395.00,13271,50.00,15230,25.00,248292,10.00
4106,2025-08-21,4,13,22,36,38,46,12,4,3,3,1,5,1,1,1,2,1,0,0.00,1,361228.00,128,1941.00,346,392.00,6532,50.00,9643,25.00,125956,10.00
4105,2025-08-18,1,4,18,24,37,42,26,,4,2,2,4,2,1,1,1,1,0,0.00,2,132518.00,106,1719.00,267,373.00,5625,50.00,7584,25.00,103269,10.00
4104,2025-08-14,22,25,29,31,34,43,11,"31,34,43",1,5,4,2,0,0,3,2,1,1,2980746.00,3,209176.00,145,1778.00,398,354.00,6962,50.00,10701,25.00,129694,10.00
4103,2025-08-11,9,24,31,34,43,44,1,44,2,4,3,3,1,0,1,2,2,0,0.00,0,0.00,96,1809.00,203,467.00,4680,50.00,6377,25.00,88189,10.00
4102,2025-08-08,2,15,28,39,42,44,5,,2,4,2,4,1,1,1,1,2,1,5527890.00,6,241107.00,422,1896.00,1091,401.00,23034,50.00,33896,25.00,419505,10.00
4101,2025-08-04,30,32,40,43,45,49,5,,0,6,3,3,0,0,1,2,3,1,1343651.00,0,0.00,104,1870.00,246,432.00,5369,50.00,7154,25.00,92419,10.00
4100,2025-07-31,7,19,20,21,22,29,37,21,5,1,4,2,1,2,3,0,0,1,12827485.00,20,73408.00,705,1432.00,1626,339.00,36754,50.00,40890,25.00,626904,10.00
4099,2025-07-28,2,14,16,21,36,47,1,,4,2,2,4,1,2,1,1,1,0,0.00,5,121727.00,218,1920.00,547,418.00,12037,50.00,16195,25.00,214301,10.00
4098,2025-07-24,9,11,24,32,39,49,26,,3,3,4,2,1,1,1,2,1,0,0.00,3,120097.00,145,1709.00,373,363.00,8784,50.00,10526,25.00,153533,10.00
4097,2025-07-21,2,5,10,12,14,37,17,,5,1,2,4,3,2,0,1,0,0,0.00,4,65865.00,165,1098.00,452,219.00,8308,50.00,10548,25.00,133970,10.00
4096,2025-07-17,7,8,17,29,32,42,1,"8,29",3,3,3,3,2,1,1,1,1,0,0.00,12,1186233.00,609,1658.00,1815,304.00,34527,50.00,49068,25.00,614079,10.00
4095,2025-07-14,2,8,19,29,38,41,20,,3,3,3,3,2,1,1,1,1,0,0.00,9,67336.00,282,1478.00,681,334.00,14575,50.00,20365,25.00,255601,10.00
4094,2025-07-10,12,21,26,27,35,44,10,,2,4,3,3,0,1,3,1,1,0,0.00,1,354259.00,151,1613.00,325,409.00,6941,50.00,10924,25.00,133227,10.00
4093,2025-07-07,10,15,17,33,36,45,34,"15,17",3,3,4,2,1,2,0,2,1,0,0.00,2,129583.00,75,2376.00,231,421.00,4717,50.00,6140,25.00,90346,10.00
4092,2025-07-03,6,15,16,17,25,34,31,34,4,2,3,3,1,3,1,1,0,1,2894419.00,2,175398.00,155,1556.00,399,330.00,8257,50.00,10198,25.00,150923,10.00
4091,2025-06-30,11,27,31,33,34,36,13,,1,5,4,2,0,1,1,4,0,0,0.00,2,129279.00,98,1814.00,334,291.00,5439,50.00,8592,25.00,96224,10.00
4090,2025-06-26,10,26,28,35,37,46,20,37,1,5,2,4,1,0,2,2,1,1,2803451.00,4,85639.00,124,1900.00,314,410.00,7271,50.00,9136,25.00,125256,10.00
4089,2025-06-23,2,15,29,37,45,49,24,"37,45",2,4,5,1,1,1,1,1,2,0,0.00,1,247645.00,53,3213.00,202,460.00,3834,50.00,5958,25.00,78528,10.00
